St. šk.,Obec,Stredná škola,Ulica
710221940,Turčianske Teplice,Spojená škola-Gymnázium Mikuláša Galandu,Horné Rakovce 1440/29
162817,Turčianske Teplice,Pedagogická a sociálna akadémia,SNP 509/116
42026393,Dubnica nad Váhom,Stredná odborná škola,Bratislavská 439/18
161586,Dubnica nad Váhom,Stredná priemyselná škola,Obrancov mieru 343/1
160628,Dubnica nad Váhom,Gymnázium,Školská 2
710237723,Nová Dubnica,Spojená škola sv. Jána Bosca-Stredná odborná škola sv. Jána Bosca,Trenčianska 66/28
710213638,Nová Dubnica,Spojená škola sv. Jána Bosca-Gymnázium sv. Jána Bosca,Trenčianska 66/28
159298,Pruské,Stredná odborná škola,Pruské 294
42141443,Považská Bystrica,Stredná odborná škola,Ulica slovenských partizánov 1129/49
42142741,Považská Bystrica,Súkromné gymnázium,M. R. Štefánika 148/27
42142750,Považská Bystrica,Súkromná obchodná akadémia,M. R. Štefánika 148/27
42142768,Považská Bystrica,Súkromná hotelová akadémia,M. R. Štefánika 148/27
607002,Považská Bystrica,Stredná zdravotnícka škola,Školská 230
162086,Považská Bystrica,Obchodná akadémia,Jesenského 259/6
161594,Považská Bystrica,Stredná priemyselná škola,Ulica slovenských partizánov 1132/52
160741,Považská Bystrica,Gymnázium,Školská 234/8
17050561,Považská Bystrica,Stredná odborná škola strojnícka,Športovcov 341/2
894907,Lednické Rovne,Stredná odborná škola sklárska,Súhradka 193
632066,Púchov,Stredná odborná škola,I. Krasku 491
160768,Púchov,Gymnázium,Ul. 1. mája 905
158569,Púchov,Stredná odborná škola obchodu a služieb,Ul. 1. mája 1264
